Author,Quote,Tag
Dr. Seuss,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,troubles
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun"
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind"
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind"
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind"
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind"
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind"
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind"
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind"
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind"
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind"
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind"
